"time","infectedAmount","deadAmount","immunityAmount","deltaInfectedAmount"
20,1,0,0,1
40,1,0,0,0
60,1,0,0,0
80,1,0,0,0
100,1,0,0,0
120,2,0,0,1
140,2,0,0,0
160,2,0,0,0
180,2,0,0,0
200,2,0,0,0
220,2,0,0,0
240,2,0,0,0
260,2,0,0,0
280,2,0,0,0
300,2,0,0,0
320,3,0,0,1
340,3,0,0,0
360,3,0,0,0
380,3,0,0,0
400,3,0,0,0
420,3,0,0,0
440,5,0,0,2
460,5,0,0,0
480,5,0,0,0
500,5,0,0,0
520,5,0,0,0
540,6,0,0,1
560,7,0,0,1
580,10,0,0,3
600,13,0,0,3
620,15,0,0,2
640,20,0,0,5
660,20,0,0,0
680,24,0,0,4
700,26,0,0,2
720,29,0,0,3
740,31,0,0,2
760,31,0,0,0
780,33,0,0,2
800,33,0,0,0
820,34,0,0,1
840,36,0,0,2
860,38,0,0,2
880,40,0,0,2
900,40,0,0,0
920,42,0,0,2
940,47,0,0,5
960,49,0,0,2
980,49,0,0,0
1000,53,0,0,4
1020,56,0,0,3
1040,59,0,0,3
1060,62,0,0,3
1080,64,0,0,2
1100,65,0,0,1
1120,68,0,0,3
1140,71,0,0,3
1160,76,0,0,5
1180,78,0,0,2
1200,83,0,0,5
1220,85,0,0,2
1240,96,0,0,11
1260,98,0,0,2
1280,102,0,0,4
1300,106,0,0,4
1320,111,0,0,5
1340,116,0,0,5
1360,120,0,0,4
1380,125,0,0,5
1400,133,0,0,8
1420,138,0,0,5
1440,141,0,0,3
1460,145,0,0,4
1480,149,0,0,4
1500,154,0,0,5
1520,159,1,0,5
1540,162,1,0,3
1560,167,1,0,5
1580,175,1,0,8
1600,180,1,0,5
1620,186,1,1,6
1640,189,1,1,3
1660,195,1,1,6
1680,207,1,1,12
1700,213,1,1,6
1720,218,1,1,5
1740,226,1,1,8
1760,231,1,1,5
1780,236,1,1,5
1800,244,1,1,8
1820,256,1,2,12
1840,261,1,2,5
1860,275,1,2,14
1880,282,1,2,7
1900,290,1,2,8
1920,299,1,2,9
1940,301,2,3,2
1960,308,2,3,7
1980,313,2,3,5
2000,318,2,3,5
2020,324,2,3,6
2040,331,2,4,7
2060,341,2,5,10
2080,343,2,8,2
2100,352,3,10,9
2120,361,4,11,9
2140,360,4,15,-1
2160,370,4,16,10
2180,374,4,20,4
2200,383,4,22,9
2220,392,4,24,9
2240,396,4,27,4
2260,406,4,27,10
2280,412,4,29,6
2300,418,4,29,6
2320,425,4,30,7
2340,433,4,32,8
2360,443,4,34,10
2380,452,4,36,9
2400,462,4,36,10
2420,468,4,38,6
2440,473,4,43,5
2460,479,4,45,6
2480,490,4,45,11
2500,498,4,49,8
2520,506,4,52,8
2540,513,4,55,7
2560,518,4,58,5
2580,528,4,60,10
2600,541,4,61,13
2620,546,4,64,5
2640,562,4,67,16
2660,562,4,72,0
2680,567,5,73,5
2700,573,5,78,6
2720,578,5,80,5
2740,579,6,90,1
2760,583,6,91,4
2780,586,6,96,3
2800,590,6,100,4
2820,596,6,105,6
2840,599,7,109,3
2860,603,7,113,4
2880,603,7,118,0
